Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Northern Africa and Western Asia,urban,Drinking water,2020,14.29922,47492392.10604,Basic service
sdg,Northern Africa and Western Asia,total,Drinking water,2020,5.55029,29187263.06747,Limited service
sdg,Northern Africa and Western Asia,rural,Drinking water,2020,9.67701,18747903.07201,Limited service
sdg,Northern Africa and Western Asia,urban,Drinking water,2020,3.14313,10439359.95029,Limited service
sdg,Northern Africa and Western Asia,total,Drinking water,2020,78.68586,413784758.70664,Safely managed service
sdg,Northern Africa and Western Asia,urban,Drinking water,2020,82.10079,272683531.0996,Safely managed service
sdg,Northern Africa and Western Asia,total,Drinking water,2020,1.12279,5904391.88826,Surface water
sdg,Northern Africa and Western Asia,rural,Drinking water,2020,2.91556,5648499.52768,Surface water
sdg,Northern Africa and Western Asia,urban,Drinking water,2020,0.07705,255892.32727,Surface water
sdg,Northern Africa and Western Asia,total,Drinking water,2020,1.30916,6884457.52656,Unimproved
sdg,Northern Africa and Western Asia,rural,Drinking water,2020,2.90237,5622959.22257,Unimproved
sdg,Northern Africa and Western Asia,urban,Drinking water,2020,0.37982,1261496.12614,Unimproved
sdg,Oceania,total,Hygiene,2020,35.97746,4445265.69838,Basic service
sdg,Oceania,rural,Hygiene,2020,27.1887,2587124.7001,Basic service
sdg,Oceania,total,Hygiene,2020,28.45916,3516326.57675,Limited service
sdg,Oceania,rural,Hygiene,2020,29.65682,2821977.7713,Limited service
sdg,Oceania,total,Hygiene,2020,35.56338,4394102.72487,No handwashing facility
sdg,Oceania,rural,Hygiene,2020,43.15448,4106339.60229,No handwashing facility
sdg,Oceania,total,Sanitation,2020,34.71008,4288671.51936,At least basic
sdg,Oceania,rural,Sanitation,2020,23.76008,2260876.49969,At least basic
sdg,Oceania,urban,Sanitation,2020,71.39487,2027794.87428,At least basic
sdg,Oceania,total,Sanitation,2020,4.75196,587137.4636,Limited service
sdg,Oceania,rural,Sanitation,2020,3.56769,339481.93351,Limited service
sdg,Oceania,urban,Sanitation,2020,8.71949,247655.52867,Limited service
sdg,Oceania,total,Sanitation,2020,14.94375,1846403.58243,Open defecation
sdg,Oceania,rural,Sanitation,2020,18.53629,1763809.94995,Open defecation
sdg,Oceania,urban,Sanitation,2020,2.90797,82593.60764,Open defecation
sdg,Oceania,total,Sanitation,2020,45.59422,5633482.4804,Unimproved
sdg,Oceania,rural,Sanitation,2020,54.13594,5151273.60443,Unimproved
sdg,Oceania,urban,Sanitation,2020,16.97767,482208.71012,Unimproved
sdg,Oceania,total,Drinking water,2020,57.34742,7085672.74463,At least basic
sdg,Oceania,rural,Drinking water,2020,46.80245,4453460.21745,At least basic
sdg,Oceania,urban,Drinking water,2020,39.97695,1135446.54833,Basic service
sdg,Oceania,total,Drinking water,2020,2.11787,261677.40218,Limited service
sdg,Oceania,rural,Drinking water,2020,2.52051,239837.53026,Limited service
sdg,Oceania,urban,Drinking water,2020,0.76894,21839.86869,Limited service
sdg,Oceania,urban,Drinking water,2020,52.69835,1496766.24642,Safely managed service
sdg,Oceania,total,Drinking water,2020,22.67258,2801354.27111,Surface water
sdg,Oceania,rural,Drinking water,2020,28.60486,2721879.00661,Surface water
sdg,Oceania,urban,Drinking water,2020,2.79817,79475.22548,Surface water
sdg,Oceania,total,Drinking water,2020,17.86213,2206990.35084,Unimproved
sdg,Oceania,rural,Drinking water,2020,22.07218,2100265.3833,Unimproved
sdg,Oceania,urban,Drinking water,2020,3.75758,106724.84128,Unimproved
sdg,Sub-Saharan Africa,total,Hygiene,2020,25.94482,283931223.12419,Basic service
sdg,Sub-Saharan Africa,rural,Hygiene,2020,17.77347,113641238.13583,Basic service
sdg,Sub-Saharan Africa,urban,Hygiene,2020,37.42813,170289986.41488,Basic service
sdg,Sub-Saharan Africa,total,Hygiene,2020,40.30054,441035227.22727,Limited service
sdg,Sub-Saharan Africa,rural,Hygiene,2020,43.59572,278745360.0725,Limited service
sdg,Sub-Saharan Africa,urban,Hygiene,2020,35.66978,162289867.68192,Limited service
sdg,Sub-Saharan Africa,total,Hygiene,2020,33.75464,369399181.39268,No handwashing facility
sdg,Sub-Saharan Africa,rural,Hygiene,2020,38.63082,247000423.121,No handwashing facility
sdg,Sub-Saharan Africa,urban,Hygiene,2020,26.90209,122398758.4894,No handwashing facility
sdg,Sub-Saharan Africa,total,Sanitation,2020,11.62858,127259221.20945,Basic service
sdg,Sub-Saharan Africa,rural,Sanitation,2020,3.58239,22905353.65394,Basic service
sdg,Sub-Saharan Africa,urban,Sanitation,2020,22.93599,104353868.65809,Basic service
sdg,Sub-Saharan Africa,total,Sanitation,2020,18.52579,202739855.19405,Limited service
